,contrib_total,contrib_ann,share_of_pnl,carry_part_ann,spot_part_ann,risk_share,avg_weight,pct_long,pct_short,group
IDR,0.2266882090262215,0.012669201302862679,0.16250951435327904,0.013455638771592627,-0.00044730393996350446,0.05615973746098427,0.2503902042191524,0.4882188498402556,0.0,EM
JPY,0.24796909002348813,0.012512657325974971,0.17776547164691883,0.004770531578457144,0.007736995163469773,0.10687538377645074,-0.26731088698916744,0.0,0.965055910543131,G10
SEK,0.16798208127823788,0.008476468658813765,0.12042393632137166,0.001961492249477687,0.006512227020920713,0.025968753893604986,-0.12737985900518684,0.0,0.5249600638977636,G10
EUR,0.16006140153647105,0.008076786781576032,0.114745715015942,0.002638652298422666,0.0054338734422274115,0.045501237743891296,-0.20500762610719064,0.0,0.6471645367412141,G10
MXN,0.1511940735887241,0.0076816343839432415,0.1083888552366452,0.007917157544004542,0.00045246068431384893,0.05971823055725715,0.14155650755485683,0.4950079872204473,0.0,EM
BRL,0.10645558630442686,0.005794126943567078,0.07631647761849343,0.014308365060541511,-0.009158468279773574,0.13224706663861335,0.18797487060324294,0.8055111821086262,0.0,EM
COP,0.0996689494552442,0.005605127262379277,0.07145123534060693,0.006901421100577883,-0.0011519325653125934,0.06517189056615365,0.08520243878059859,0.3636182108626198,0.04792332268370607,EM
ILS,0.08588416349068317,0.004378476471707902,0.06156912068547026,0.0008815971208534227,0.0038881453848085977,0.008677761283247423,-0.09556249518845103,0.0,0.29572683706070285,EM
TRY,0.08575701815521322,0.004332551839437396,0.06147797202446021,0.07192093831252516,-0.06766697112604385,0.16220616766541535,0.34138308421249325,0.9824281150159745,0.0,EM
HUF,0.05588824435778011,0.0028631505546169115,0.04006547798694574,0.0036757106922254063,-0.000617710989030702,0.025817112230304307,0.014203273187877001,0.20527156549520767,0.12140575079872204,EM
PEN,0.04039905712174925,0.0022588334578834725,0.028961502591546066,0.002722716380893624,-0.0006176012611956103,0.0032735170229969716,-0.020777069370084326,0.05211661341853035,0.09165335463258786,EM
PHP,0.034238216714088616,0.0019199000026591747,0.024544884775569684,2.246390213534306e-05,0.0018837710431573661,0.0013638428687805877,-0.030225735020720512,0.0,0.05650958466453674,EM
KRW,0.030971772471110038,0.0017987754465820995,0.022203217911338953,0.0005314737657022789,0.0018634076432691837,0.0035644889537125505,-0.026552586091919468,0.0,0.12999201277955272,EM
THB,0.02926516881993053,0.0016039196482432567,0.02097977831676068,0.0020860725023576485,-0.0006491559926162008,0.0080193859946957,-0.012225613373374392,0.03953674121405751,0.1134185303514377,EM
ZAR,0.03044894327308279,0.0015398622726905205,0.021828409184294423,0.009265628940718229,-0.007731062867716363,0.11665898175940145,0.17183116642620402,0.7863418530351438,0.0,EM
MYR,0.020898025497112144,0.001175251601265847,0.01498149369597472,0.000974207903348364,0.0004536448058198047,0.004668715311895774,-0.046434550196635234,0.0,0.12619808306709265,EM
INR,0.017844126598657646,0.0010450197310856906,0.012792197530092324,0.01653012833472518,-0.015514338131206775,0.06879781693761661,0.2904147136610213,0.6086261980830671,0.01737220447284345,EM
CNH,0.014388957196270601,0.0008837477975774291,0.010315236315381424,0.004055611325071157,-0.003241285898580527,0.009620510279218014,-0.14063366634128158,0.020966453674121407,0.21825079872204473,EM
CHF,0.011862333984443009,0.0005985799287304042,0.008503936500222846,0.005903144974493641,-0.005311789727796025,0.09478651902729973,-0.290657387125898,0.0,0.9956070287539937,G10
PLN,0.0022221444166990673,0.00011255887296646531,0.0015930233492596189,0.00011060837709379328,1.6382482296566955e-06,0.00032429326377784616,0.0005781804331482857,0.008985623003194889,0.003993610223642172,EM
NOK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,G10
NZD,-0.0023159080323938794,-0.0001168619992317296,-0.0016602411358221695,0.00030775628587248574,-0.0004250496615561786,0.005721308597651026,0.005799017920760777,0.025758785942492014,0.0,G10
SGD,-0.004653899075703832,-0.00023564045952930793,-0.0033363132643318065,0.0018257549860321652,-0.0019081527654557062,0.0031304550339171875,-0.19051619404339631,0.0,0.36721246006389774,EM
AUD,-0.017453604972232344,-0.0008807185528639468,-0.012512238196841394,0.0002959761021883652,-0.0011704192562717046,0.008617546665594094,0.005163801000959242,0.022164536741214057,0.004193290734824281,G10
CAD,-0.02794122028119566,-0.0014099294174732292,-0.020030658664782444,-7.2924849706464805e-06,-0.0014026267107575296,-0.004370143452798913,-0.010772386977272043,0.0,0.056110223642172524,G10
GBP,-0.04276088587437771,-0.002157737933588943,-0.030654663630772697,-6.198550030404e-05,-0.0020956655493237237,0.005240564409858743,-0.04525954755954637,0.0,0.12619808306709265,G10
CLP,-0.13003935437252923,-0.007261226966957094,-0.09322334150802357,0.002284777614883046,-0.009613339131104789,0.023752421009997016,0.014818345389805117,0.09544728434504793,0.09105431309904154,EM
