date,IDR,JPY,SEK,EUR,MXN,BRL,COP,ILS
2007,0.00716736634361151,-0.010875601073565187,0.008499144158520927,0.0,0.0,0.04062575349130122,0.013989225750372994,0.0
2008,-0.011121005807760853,-0.016383416154079178,0.0,0.01530022002773017,-0.0035055253060970216,-0.027895290016849348,0.008052493339775063,0.0
2009,0.06853259323712561,0.005089152341571811,0.005992075992653353,0.002760952494343902,-0.004088190598983616,0.062418096608991315,-0.011195364223863427,-0.0006751468863548179
2010,0.04798944661223145,-0.03171155449345124,0.03098430196341978,0.010278752394805043,0.0,0.022747617252175976,0.015592789715054626,0.0
2011,0.08305310782069183,-0.01736863490193004,0.0,0.0003542078608145126,0.0,0.008366207030047333,-0.02705298422262578,0.0
2012,0.005954854308626571,0.06846923466944517,0.0,-0.007583307754067705,0.0,-0.003856561178085424,0.01074840931879676,0.0
2013,-0.03286195008270603,0.05275564661199143,0.0,-0.009079116097469307,0.0,-0.023640022527463396,0.0,0.0
2014,-0.009896147776643726,0.04729203958287407,0.013016404200011659,0.05156491443640982,0.0,-0.007061267716610189,0.0,0.047602341691617256
2015,-0.010532409346184643,0.003429564885638561,0.014879456758479305,0.025191280733147327,0.0,-0.027196115900141933,0.0,0.0017905550845577303
2016,0.04996673623111884,-0.005639308159706561,0.02516761806445642,0.01892953344452464,0.0,0.05475974868255176,-0.016048341357695256,0.0015056083608527425
2017,0.0,-0.0029029838839733342,-0.014772766630739315,-0.02704615925397566,0.015517217650857949,-0.0006962558959077345,0.03218438027685125,0.0
2018,0.016893315506449715,0.00806005061187125,0.037324780025940286,0.026247209520019795,0.018003847867923712,-0.040499423475834476,0.0,0.019911927314330575
2019,0.042140185336816016,0.0014638629619530138,0.02076022390773191,0.019208513767330446,0.03007472898503763,0.0,0.0,-0.016344536647668436
2020,-0.011233086185175094,-0.008929361287755993,-0.007068969483568811,-0.01803437183210696,-0.022398408688039793,0.0,0.0,0.007578463687057066
2021,-0.019364797171979673,0.008426245288653166,0.0266815751657639,0.03865819611421773,-0.0033438490211548186,-0.027264240135417842,-0.010337191522097049,-0.0007527605803725929
2022,0.0,0.047408751664474565,0.028656531664938648,0.02299339322035461,0.02653344187385745,0.03208557239524149,-0.020332191655646994,0.031676170060241565
2023,0.0,0.02274565374547195,0.0,-0.00400104525335661,0.05576577741937183,0.03332245776137124,0.0447012678665148,0.0
2024,0.0,0.04972428849570159,0.012622174774032763,0.0,-0.036253152208540584,-0.05647967230194776,-0.01411173809099759,-0.0064084585935779165
2025,0.0,0.006880670628757266,-0.042049513229712426,-0.005681772286250742,0.06086541399489058,0.03773950952718663,0.04626219788674371,0.0
2026,0.0,0.020034788489545798,0.00728904394630948,0.0,0.01402277161960076,0.028979472703817982,0.027215996374061087,0.0
