,sharpe_without,delta_vs_base
JPY,0.3798101011233062,-0.08611316635501792
CNH,0.38975013694141686,-0.07617313053690727
MXN,0.3933011521312335,-0.07262211534709062
SEK,0.4124886662847947,-0.05343460119352944
EUR,0.41999232966086847,-0.045930937817455664
COP,0.4268488702374857,-0.03907439724083844
HUF,0.4281875747863949,-0.037735692691929223
PHP,0.44520153664576784,-0.020721730832556295
AUD,0.4471552479965141,-0.018768019481810005
KRW,0.4546714519270887,-0.011251815551235445
NOK,0.4593887046262603,-0.00653456285206383
NZD,0.45946322308936216,-0.006460044388961972
SGD,0.4595752582978276,-0.00634800918049655
IDR,0.4612283179902658,-0.00469494948805832
PLN,0.46133818145019856,-0.004585086028125573
GBP,0.4621430495250158,-0.0037802179533083513
CAD,0.464343577150318,-0.0015796903280061447
THB,0.4757478447179469,0.009824577239622767
MYR,0.4773491470837187,0.01142587960539454
CHF,0.49721431294184076,0.03129104546351663
PEN,0.4993751652010296,0.03345189772270546
CLP,0.5105392518942032,0.044615984415879106
BRL,0.512077337168808,0.04615406969048386
ILS,0.5123402563328455,0.04641698885452139
INR,0.5287684543847605,0.06284518690643637
TRY,0.5448345073751207,0.0789112398967966
ZAR,0.5648055280337151,0.09888226055539096
