tenor,ccy,fwd_carry_%,onshore_diff_%,basis_%,basis_sd_%,n
1M,DKK,-1.0774136277032051,-0.43875500000000006,-0.43266824738184023,0.32198659704616206,4484.0
1M,HKD,-0.30964346029340517,-0.12669499999999995,-0.12675447855242042,0.15772932115432897,4484.0
1M,CNH,1.2561361099384807,2.21148,-0.24505667715188917,2.088575391674137,3547.0
1M,HUF,2.2307879355392464,2.6799999999999997,-0.47019593687187605,0.6173679313201283,4430.0
1M,ILS,-0.4283105829979525,-0.08593999999999999,-0.3437529509663007,0.4953349330538666,4440.0
1M,INR,4.373865816008739,4.303155,-0.010142028234449811,2.7274430839554955,4183.0
1M,PLN,1.1902614497829844,1.474,-0.22395251861983545,0.5352041718862002,4478.0
1M,THB,0.644003427055647,0.34832499999999994,0.415169136468929,2.3667162795081222,4305.0
1M,TRY,11.614880210274297,10.636870000000002,-0.5980169827249582,12.384014661188695,4483.0
3M,DKK,-1.0596151619707166,-0.45197499999999996,-0.45802918201338777,0.3102444037613033,4484.0
3M,HKD,-0.30461244058478976,-0.10484500000000002,-0.1491308574765224,0.14596647165898835,4483.0
3M,CNH,1.3124072296744302,2.087135,-0.17575377941973017,1.8978174281600153,3543.0
3M,HUF,2.162468495272533,2.50515,-0.4807768970098638,0.6407318616990488,4484.0
3M,ILS,-0.569253906172603,-0.195275,-0.331446384989078,0.5287464562227404,4468.0
3M,INR,4.339345603575156,4.131749999999999,0.05707058493156615,2.2097388814252854,4180.0
3M,PLN,1.113217272118632,1.4102499999999998,-0.22627683631317763,0.6347252468508743,4477.0
3M,THB,0.5348070983281604,0.24018999999999993,0.3075524499459083,1.8322575093762363,4329.0
3M,TRY,11.219721523959834,10.7904,-0.9614829704879133,10.463938160858948,4428.0
