,n,r2,alpha_ann,alpha_t,beta_DOL,t_DOL,beta_HML_FX,t_HML_FX
AUD,5057.0,0.6544210857428877,0.007197167771966557,0.5014602813395851,1.6170986771333606,48.23494250795139,0.08982939939675826,2.5560351644688133
CAD,5057.0,0.5169923638586644,-0.009722145261083413,-0.7578906674927448,1.0092625363783363,46.691678566341345,0.03961857607993902,2.071289510737316
CHF,5057.0,0.4994913599484243,0.028638724525816284,1.7732043728948435,1.170096727445518,30.47759487705897,-0.7802220885702041,-13.831411422485417
DKK,5055.0,0.7561688623359264,0.0015842161878664017,0.16412552914854892,1.3116951535124965,70.29730993899925,-0.52755109931365,-25.34936679832
EUR,5057.0,0.7562947663654849,0.002844198799277688,0.29233597000370154,1.3127293285593638,70.1073470170488,-0.5262224157345702,-25.22464646594678
GBP,5057.0,0.5220048908766797,-0.006129613525141277,-0.4254459442830446,1.162098532283573,37.345927038150116,-0.39358613364529993,-19.298513385821675
HKD,5052.0,0.025776103981894005,-0.005256257834109926,-3.8485730432067706,0.017134612243043138,9.93361689352375,-0.0035417349892662244,-1.9383027030418745
JPY,5057.0,0.3023193135114105,-0.007386429682433254,-0.41394439552207346,0.5583151769804426,13.295230192652385,-0.8342144817902494,-26.87540238031326
NOK,5051.0,0.6646787928441494,-0.007006789643208397,-0.467105441370257,1.7463684742504932,66.30202629206356,-0.3037688315990345,-10.14378020866032
NZD,5057.0,0.6055812481352331,0.008665727767222287,0.5332760048447127,1.575205213697872,58.187818229088975,-0.02565544508675708,-0.954426847371758
SEK,5057.0,0.7019611617484433,-0.00677029851006432,-0.5084931651956628,1.7064011313551717,69.97410953304725,-0.47479939453515024,-20.357032038899227
BRL,4688.0,0.5112441694735671,-0.006667877146312261,-0.2826819633891355,1.2446055382671783,34.28053318873511,1.0066213660037486,24.030649430087376
CLP,4572.0,0.3239504120800728,-0.02022612641002254,-0.8717383812589454,0.9579272834266475,27.822769443937315,0.3328994814514371,9.871208937917205
CNH,4103.0,0.29258200483375596,0.013435634740050488,1.6086058629646138,0.4204248362010032,24.129563084885362,-0.06255062577990111,-3.972899195929119
COP,4542.0,0.3574430803037688,-0.018865616122666563,-0.7374848483541216,0.9051080571634358,23.85687916637445,0.5880880495789472,13.022913439048729
HUF,4982.0,0.6406876194291464,0.005913168420633669,0.3100036345791427,1.8863793380639031,63.710347583692645,-0.13263112407418298,-3.4455765096812065
IDR,4570.0,0.0884842376763112,0.010129314671462216,0.6074432699239461,0.30810099184724915,11.614216329083629,0.07634958111299411,2.369049082150193
ILS,5006.0,0.279481120563678,0.02196699544664081,1.397318402158291,0.7577943159746918,30.743872912262077,-0.098489222649267,-4.239873040998678
INR,4364.0,0.17098540906971627,-0.007375113821800799,-0.548511472471957,0.36573386129813684,18.73922246649071,0.1586186003325247,6.95557767936036
KRW,4401.0,0.13393428111002703,-0.021449165716935906,-1.0417296954722222,0.6954889596104701,13.434916011567527,-0.158120667035007,-2.2595919891788876
MXN,5023.0,0.5260545980558027,0.0015397928330686385,0.08335862919005402,1.0923108395988423,32.88549690062069,0.6654210748702845,20.238695009029737
MYR,4540.0,0.14492484590947186,0.0008814672316199757,0.06897563948699385,0.3915053248887785,20.931717040511693,0.011385904418092119,0.5285242143663554
PEN,4570.0,0.1711654992946211,0.012003385958809103,0.9758641937550963,0.3307600505414151,19.632628289005726,0.11221409894991856,4.277260322966872
PHP,4554.0,0.09562903045010884,0.006432022878339501,0.5631592304531484,0.2762948797652434,17.42988331544915,0.012686607274009248,0.8383262403808309
PLN,5038.0,0.6752073011715574,0.014063801851606751,0.876042339952154,1.8513677366457213,63.44904500561086,-0.18556595330644096,-5.367945936014636
SGD,5040.0,0.6905747101782012,0.008116210468035552,1.4434002988710848,0.743972152297732,60.305883540862965,-0.126391261401133,-11.85598153557698
THB,4660.0,0.1178840387614245,0.006656353510122501,0.5588279725100433,0.3380679679617844,19.119626419801993,-0.058057111142521704,-3.523074384840232
TRY,5051.0,0.355953691933095,-0.02937741455124944,-1.0283038929098887,0.9374033852074912,25.988777528733685,0.8627178550297829,9.48663336240938
ZAR,5046.0,0.6394144552733929,-0.009752045558003963,-0.4432940238116526,1.6684314879596427,48.41044991256081,0.8474744412085918,16.190942088917378
