,start,end,n_days,ann_return,ann_vol,daily_variance,skew,excess_kurtosis,sharpe,max_drawdown,VaR_95,VaR_99,CVaR_95,CVaR_99,hit_rate,best_day,worst_day,autocorr_1d,cagr,sortino,calmar,info_ratio,avg_monthly_turnover,base,alpha_vs_inv_vol_ann,t_alpha_vs_inv_vol,ann_cost_drag
ALL_equal_gross,2007-05-01,2026-06-30,5001,0.05098851335870562,0.11203823840751567,4.9811773275632215e-05,-0.5216885008439918,4.854100933526139,0.4550992061589326,-0.2969134402612138,0.010855087842843735,0.020350548977954415,0.01716669625630968,0.028881629020404188,0.5344931013797241,0.048103395156728616,-0.04620414622985515,-0.0028441247444099867,0.04570807697411006,0.6243029122770788,0.15394411561126276,0.34622717463911484,0.4735168443846933,ALL_inv_vol_gross,-0.016382961588995718,-2.3665091135735357,
ALL_equal_net,2007-05-01,2026-06-30,5001,0.03767410124431902,0.11206903132674109,4.983915786711935e-05,-0.5181534124440914,4.832077043945552,0.33616870600477383,-0.31559767439308506,0.011027421019126198,0.020527870298382878,0.01722815603287867,0.028894148714186312,0.5296940611877624,0.048103395156728616,-0.04620414622985515,-0.004346079614846721,0.031875635001622715,0.4589649898353669,0.10100085516448004,0.221877707520292,0.4735168443846933,ALL_inv_vol_net,-0.012284341505700598,-1.7888380306011173,0.013295801714066987
ALL_inv_vol_gross,2007-05-01,2026-06-30,5001,0.07029004560222012,0.11184804136915838,4.9642795071892706e-05,-0.65215157306325,4.579733719813256,0.6284423467928719,-0.2678294999211406,0.010594454202481727,0.021711195215249522,0.017392479812147938,0.029185601642047237,0.5440911817636472,0.04132775344824964,-0.04905954467828443,0.010658595134984216,0.06610270482031888,0.8607033865306162,0.24680890208054784,0.49730352064917155,0.6841360052850849,,,,
ALL_inv_vol_net,2007-05-01,2026-06-30,5001,0.05214343433645578,0.1119142098626392,4.9701549084043035e-05,-0.6480046211041329,4.5434987215595175,0.46592326747832447,-0.29318494205516343,0.0106611582472443,0.021880182396760452,0.01749253185403459,0.02919874578407466,0.5382923415316937,0.04132775344824964,-0.04905954467828443,0.007721205573921591,0.046927046651773496,0.6341168503826068,0.1600595389477542,0.33764151945240606,0.6841360052850849,,,,0.01812124659346792
ALL_erc_gross,2007-05-01,2026-06-30,5001,0.06606186865261174,0.11183392903534528,4.9630268585248576e-05,-0.5605877992671361,4.719167284599158,0.5907140098040621,-0.2972472941289237,0.010728157648138753,0.021546662769046158,0.01729484474014189,0.028975625964910424,0.5406918616276745,0.0436157968883056,-0.04853882390045636,0.02129177731386879,0.0616100551517913,0.8122315686915758,0.2072686829070661,0.4665319427853113,0.6294009829765687,ALL_inv_vol_gross,-0.0029898373037456905,-0.6533220197256362,
ALL_erc_net,2007-05-01,2026-06-30,5001,0.04895712523849612,0.11188276310371889,4.967362174493206e-05,-0.5564099314469668,4.692594254864978,0.4375752249978963,-0.320019596235782,0.010828762824523736,0.021546662769046158,0.0173775937797318,0.028975625964910424,0.5350929814037193,0.0436157968883056,-0.04853882390045636,0.01854054825050471,0.0436034990851506,0.5980668393587935,0.1362525907726747,0.31394244275496164,0.6294009829765687,ALL_inv_vol_net,-0.002257715364309813,-0.4945306527067523,0.01708083502675562
ALL_mvo_gross,2007-05-01,2026-06-30,5001,0.056106202493063355,0.12126196989658367,5.835105294920621e-05,-1.1497462504336005,14.240593548586661,0.46268589023345597,-0.47886846597284927,0.010787868806311308,0.022308314706705277,0.01876871467674736,0.03482260030508134,0.5402919416116777,0.0569848708094848,-0.08771093675605847,0.029322735773292526,0.0499112563032198,0.6230812516894463,0.10422748593775572,0.3429117596847092,0.6994348264249964,ALL_inv_vol_gross,-0.010888822400426549,-0.8173732498123555,
ALL_mvo_net,2007-05-01,2026-06-30,5001,0.038861271600346324,0.12133322386943146,5.8419647676784015e-05,-1.1501653534779142,14.152796539099421,0.3202854944509307,-0.5163175486401432,0.010899403235343174,0.022308314706705277,0.018892925858404467,0.034895080119900695,0.5358928214357128,0.0569848708094848,-0.08771093675605847,0.027340229365039378,0.03195413785120249,0.42889662246853366,0.061888537268125085,0.20287009094529346,0.6994348264249964,ALL_inv_vol_net,-0.010834153873309663,-0.8240017637692939,0.01722082655640534
FXCTEM8,2007-05-01,2026-06-30,5001,0.012734499259061224,0.09000591334607835,3.2147081100245106e-05,-0.25315402470491133,4.895254767059007,0.14148514009403226,-0.3207736475898004,0.008958598394321449,0.015358261736972523,0.01338070005034299,0.02138682091030412,0.5240951809638073,0.03905460960462204,-0.0439542704461644,0.04486800933979499,0.00871826045862667,0.19571793963331277,0.027178855009235125,,,,,,
