,outright_bps,points_bps,avg_monthly_turnover_G10,avg_monthly_turnover_ALL
EUR,1.011704548023084,0.08312897474771232,0.11820597571689366,0.04634241237955403
JPY,1.5566975951585553,0.1308697506688898,0.12857822298931204,0.068619966757984
GBP,1.6470201953941506,0.09583963459496106,0.06093402096867647,0.037538485074757905
CAD,1.7437249745603927,0.1389116201176323,0.06678357965019675,0.010083321343409364
AUD,2.4114819637608007,0.13614924554203192,0.06976840148268343,0.013134946428322117
BRL,2.8142372036186294,0.7258831834504756,,0.05920507577012416
CHF,2.9928212106348466,0.18847603880441374,0.07749186985508762,0.05382513106173884
INR,3.008805825273177,2.098569430582529,,0.1370263995326944
CNH,3.9014731506416984,0.8046605941613828,,0.059827668687921005
PHP,4.044014969559068,1.0165080914044078,,0.0348296026545021
SGD,4.347783702634901,0.2950723071630452,,0.06752618956680129
IDR,4.419796731660508,1.1938804828015919,,0.11997068079982388
NZD,4.422966529818266,0.25917618460904,0.06087691569369537,0.006239409164774665
MYR,5.24948230607906,0.5586336382425766,,0.025972372278652806
CLP,5.427189641592692,1.0756389474451291,,0.03923781207606291
MXN,5.491549668051154,0.5838973162193695,,0.03308723055500131
PEN,5.718193874570416,2.450980392156863,,0.07293375646132012
THB,6.024403941390166,2.274243435017284,,0.07078204798569476
KRW,6.267157446883956,4.309360375166143,,0.025065249729506092
SEK,7.053468322758037,0.22639849148485303,0.0848848540039943,0.04041305723659095
COP,7.149666348903717,2.2920499483524748,,0.07042397261464453
NOK,8.721781906317695,0.2270628303806941,0.08304089565939915,0.0
PLN,9.898402452145003,0.40034011195351893,,0.0059486966743813085
TRY,11.284226123459044,1.60887626459286,,0.08805388306581426
ILS,11.899713770804901,0.7005104934770274,,0.05316688028474891
ZAR,12.550388563354808,0.46082949308755766,,0.05996808517399584
HUF,14.759430099498202,1.2336046008015225,,0.04566041207339646
