,beta,t_beta,r2,n
AUD,0.158,0.109,0.0,233.0
CAD,2.211,0.717,0.003,233.0
CHF,1.512,1.102,0.005,233.0
DKK,0.747,0.453,0.001,233.0
EUR,1.181,0.677,0.002,233.0
GBP,3.718,1.468,0.011,233.0
HKD,0.233,0.863,0.005,233.0
JPY,1.277,0.998,0.005,233.0
NOK,2.758,1.083,0.007,233.0
NZD,2.116,1.119,0.007,233.0
SEK,1.22,0.731,0.002,233.0
BRL,-0.216,-0.183,0.0,233.0
CLP,1.139,1.037,0.004,233.0
CNH,-0.131,-0.291,0.0,190.0
COP,-0.663,-0.659,0.002,233.0
HUF,-0.529,-0.54,0.001,232.0
IDR,-1.627,-2.454,0.022,233.0
ILS,1.442,0.946,0.003,233.0
INR,-0.319,-0.578,0.001,233.0
KRW,0.325,0.173,0.0,233.0
MXN,-0.585,-0.334,0.001,233.0
MYR,1.391,1.235,0.008,233.0
PEN,0.289,0.465,0.002,233.0
PHP,-1.951,-1.825,0.014,233.0
PLN,1.66,0.921,0.004,233.0
SGD,0.846,0.711,0.002,233.0
THB,0.39,0.571,0.002,233.0
TRY,0.841,2.479,0.049,233.0
ZAR,0.18,0.077,0.0,233.0
POOLED,0.733,4.477,0.01,6713.0
