file,suffix,size_mb,rows_loaded,columns,status
download_coverage_summary.csv,.csv,0.000321,8,6,ok
em_fx_options_long.parquet,.parquet,16.652611,4847571,4,ok
em_fx_options_wide.parquet,.parquet,12.508799,5087,975,ok
em_fx_spot_forward_failures.csv,.csv,0.000893,8,4,ok
em_fx_spot_forward_long.parquet,.parquet,7.57867,1393179,4,ok
em_fx_spot_forward_missing_tickers.csv,.csv,0.000823,8,3,ok
em_fx_spot_forward_wide.parquet,.parquet,6.410471,5094,285,ok
em_interest_rates_failures.csv,.csv,0.000118,1,4,ok
em_interest_rates_long.parquet,.parquet,0.503102,134365,4,ok
em_interest_rates_missing_tickers.csv,.csv,0.000127,1,3,ok
em_interest_rates_wide.parquet,.parquet,0.342881,5087,34,ok
em_onshore_rates_long.parquet,.parquet,0.329681,87564,4,ok
em_onshore_rates_wide.parquet,.parquet,0.314296,7127,16,ok
em_risk_long.parquet,.parquet,0.076418,5091,4,ok
em_risk_wide.parquet,.parquet,0.076145,5091,1,ok
fx_carry_benchmarks_long.parquet,.parquet,0.144321,15273,4,ok
fx_carry_benchmarks_wide.parquet,.parquet,0.120641,5091,3,ok
FX_extra_data.xlsx,.xlsx,1.576396,200,4,ok
g10_fx_options_long.parquet,.parquet,14.267783,4170477,4,ok
g10_fx_options_wide.parquet,.parquet,9.752829,5087,825,ok
g10_fx_spot_forward_long.parquet,.parquet,4.929612,1007085,4,ok
g10_fx_spot_forward_wide.parquet,.parquet,4.86477,5087,198,ok
g10_interest_rates_failures.csv,.csv,0.000214,2,4,ok
g10_interest_rates_long.parquet,.parquet,1.581515,365973,4,ok
g10_interest_rates_missing_tickers.csv,.csv,0.00023,2,3,ok
g10_interest_rates_wide.parquet,.parquet,1.298231,5087,81,ok
g10_rates_gaps_long.parquet,.parquet,0.147216,20364,4,ok
g10_rates_gaps_wide.parquet,.parquet,0.133137,5091,4,ok
global_risk_long.parquet,.parquet,0.707472,95156,4,ok
global_risk_wide.parquet,.parquet,0.569916,5087,19,ok
macro_market_proxies_long.parquet,.parquet,0.54587,98582,4,ok
macro_market_proxies_wide.parquet,.parquet,0.47551,5155,24,ok
missing_tickers_by_group.csv,.csv,0.000848,11,3,ok
ticker_manifest.csv,.csv,0.051092,200,3,ok
usd_riskfree_long.parquet,.parquet,0.069512,5091,4,ok
usd_riskfree_wide.parquet,.parquet,0.069241,5091,1,ok
